Timestamp,CPU%,Memory_MB
2025-04-11T03:45:27Z,0.45,83.85
2025-04-11T03:45:33Z,0.40,83.85
2025-04-11T03:45:41Z,0.54,83.85
2025-04-11T03:45:47Z,0.71,83.85
2025-04-11T03:45:54Z,0.85,83.85
2025-04-11T03:46:01Z,0.61,83.80
2025-04-11T03:46:07Z,6.77,84.72
2025-04-11T03:46:14Z,0.55,98.75
2025-04-11T03:46:21Z,1.39,107.90
2025-04-11T03:46:27Z,0.86,115.30
2025-04-11T03:46:34Z,0.81,122.90
2025-04-11T03:46:41Z,1.19,109.30
2025-04-11T03:46:47Z,1.25,120.20
2025-04-11T03:46:54Z,0.54,120.00
2025-04-11T03:47:01Z,1.46,119.00
2025-04-11T03:47:07Z,1.76,127.20
2025-04-11T03:47:14Z,0.76,123.80
2025-04-11T03:47:21Z,1.16,125.20
2025-04-11T03:47:27Z,0.72,122.30
2025-04-11T03:47:34Z,0.66,126.90
2025-04-11T03:47:41Z,1.51,118.70
2025-04-11T03:47:47Z,1.62,134.20
2025-04-11T03:47:54Z,0.69,139.20
2025-04-11T03:48:01Z,1.14,121.70
2025-04-11T03:48:07Z,1.27,123.40
2025-04-11T03:48:14Z,0.86,122.90
2025-04-11T03:48:21Z,1.19,125.00
2025-04-11T03:48:27Z,0.96,122.70
2025-04-11T03:48:34Z,1.12,124.30
2025-04-11T03:48:41Z,1.09,134.10
2025-04-11T03:48:47Z,1.18,137.20
2025-04-11T03:48:54Z,0.43,124.10
2025-04-11T03:49:01Z,0.96,124.80
2025-04-11T03:49:07Z,1.19,123.50
2025-04-11T03:49:14Z,0.70,124.50
2025-04-11T03:49:21Z,1.03,124.30
2025-04-11T03:49:27Z,1.59,128.20
2025-04-11T03:49:34Z,0.50,131.50
2025-04-11T03:49:41Z,1.21,120.30
2025-04-11T03:49:47Z,1.79,119.60
2025-04-11T03:49:54Z,0.90,120.60
2025-04-11T03:50:01Z,2.27,126.70
2025-04-11T03:50:07Z,0.94,126.40
2025-04-11T03:50:14Z,0.91,131.10
2025-04-11T03:50:21Z,1.40,133.80
2025-04-11T03:50:27Z,0.88,129.60
2025-04-11T03:50:34Z,0.35,137.50
2025-04-11T03:50:41Z,0.76,140.00
2025-04-11T03:50:48Z,0.42,139.50
2025-04-11T03:50:54Z,0.38,139.50
2025-04-11T03:51:01Z,0.64,139.50
2025-04-11T03:51:08Z,0.90,139.80
2025-04-11T03:51:14Z,0.34,139.50
2025-04-11T03:51:21Z,0.72,139.50
2025-04-11T03:51:28Z,0.47,139.50
2025-04-11T03:51:34Z,0.26,139.50
2025-04-11T03:51:41Z,0.52,139.50
2025-04-11T03:51:48Z,0.78,139.50
2025-04-11T03:51:54Z,0.51,139.50
2025-04-11T03:52:01Z,0.62,139.80
