Timestamp,CPU%,Memory_MB
2025-04-11T03:04:42Z,0.28,77.90
2025-04-11T03:04:49Z,0.57,77.90
2025-04-11T03:04:55Z,0.77,78.15
2025-04-11T03:05:02Z,0.67,77.90
2025-04-11T03:05:09Z,0.57,78.15
2025-04-11T03:05:15Z,0.40,77.90
2025-04-11T03:05:22Z,0.57,79.04
2025-04-11T03:05:29Z,0.91,92.63
2025-04-11T03:05:35Z,2.29,114.10
2025-04-11T03:05:42Z,1.10,113.40
2025-04-11T03:05:49Z,0.45,113.30
2025-04-11T03:05:55Z,0.65,120.90
2025-04-11T03:06:02Z,1.16,124.00
2025-04-11T03:06:09Z,0.66,132.20
2025-04-11T03:06:15Z,0.79,124.90
2025-04-11T03:06:22Z,0.32,126.40
2025-04-11T03:06:29Z,0.62,123.50
2025-04-11T03:06:35Z,1.03,124.00
2025-04-11T03:06:42Z,0.38,113.80
2025-04-11T03:06:49Z,0.75,115.20
2025-04-11T03:06:55Z,1.11,126.00
2025-04-11T03:07:02Z,0.45,128.30
2025-04-11T03:07:09Z,0.48,124.90
2025-04-11T03:07:15Z,1.02,125.30
2025-04-11T03:07:22Z,0.75,123.60
2025-04-11T03:07:29Z,0.58,123.90
2025-04-11T03:07:35Z,0.84,128.70
2025-04-11T03:07:42Z,0.51,127.80
2025-04-11T03:07:49Z,0.42,128.60
2025-04-11T03:07:55Z,0.93,124.00
2025-04-11T03:08:02Z,0.55,125.50
2025-04-11T03:08:09Z,0.72,125.80
2025-04-11T03:08:15Z,0.97,129.90
2025-04-11T03:08:22Z,0.45,145.80
2025-04-11T03:08:29Z,0.55,136.30
2025-04-11T03:08:35Z,0.79,116.50
2025-04-11T03:08:42Z,1.14,117.70
2025-04-11T03:08:49Z,0.49,118.80
2025-04-11T03:08:55Z,2.03,123.30
2025-04-11T03:09:02Z,0.53,126.50
2025-04-11T03:09:09Z,0.59,124.20
2025-04-11T03:09:15Z,1.49,119.80
2025-04-11T03:09:22Z,0.50,121.10
2025-04-11T03:09:29Z,0.48,119.50
2025-04-11T03:09:35Z,1.10,119.90
2025-04-11T03:09:42Z,0.39,130.50
2025-04-11T03:09:49Z,0.86,130.30
2025-04-11T03:09:55Z,0.42,130.30
2025-04-11T03:10:02Z,0.16,130.30
2025-04-11T03:10:09Z,0.75,130.60
2025-04-11T03:10:15Z,0.49,130.30
2025-04-11T03:10:22Z,0.35,130.30
2025-04-11T03:10:29Z,0.72,130.30
2025-04-11T03:10:35Z,0.71,130.30
2025-04-11T03:10:42Z,0.39,130.30
2025-04-11T03:10:49Z,0.46,130.30
2025-04-11T03:10:55Z,0.91,130.30
2025-04-11T03:11:02Z,0.61,130.30
2025-04-11T03:11:09Z,0.64,130.60
2025-04-11T03:11:15Z,0.61,130.30
