Timestamp,CPU%,Memory_MB
2025-04-11T04:05:48Z,1.20,82.32
2025-04-11T04:05:55Z,0.54,82.57
2025-04-11T04:06:02Z,0.76,82.57
2025-04-11T04:06:08Z,0.65,82.32
2025-04-11T04:06:15Z,0.65,82.32
2025-04-11T04:06:22Z,0.55,82.32
2025-04-11T04:06:28Z,19.56,83.81
2025-04-11T04:06:35Z,2.39,99.09
2025-04-11T04:06:42Z,2.79,100.60
2025-04-11T04:06:48Z,3.12,112.80
2025-04-11T04:06:55Z,2.77,113.00
2025-04-11T04:07:02Z,2.88,120.90
2025-04-11T04:07:08Z,2.41,121.00
2025-04-11T04:07:15Z,2.41,120.80
2025-04-11T04:07:22Z,3.15,122.90
2025-04-11T04:07:28Z,2.36,122.60
2025-04-11T04:07:35Z,2.94,129.70
2025-04-11T04:07:42Z,2.89,130.10
2025-04-11T04:07:48Z,2.82,138.20
2025-04-11T04:07:55Z,2.10,128.00
2025-04-11T04:08:02Z,2.97,137.40
2025-04-11T04:08:08Z,2.35,129.20
2025-04-11T04:08:15Z,2.64,137.20
2025-04-11T04:08:22Z,2.63,134.20
2025-04-11T04:08:28Z,2.06,129.50
2025-04-11T04:08:35Z,3.13,131.40
2025-04-11T04:08:42Z,3.11,129.80
2025-04-11T04:08:48Z,3.06,121.20
2025-04-11T04:08:55Z,3.66,127.70
2025-04-11T04:09:02Z,4.07,134.50
2025-04-11T04:09:08Z,2.50,141.50
2025-04-11T04:09:15Z,3.33,129.80
2025-04-11T04:09:22Z,2.98,131.30
2025-04-11T04:09:28Z,3.11,130.60
2025-04-11T04:09:35Z,3.59,119.40
2025-04-11T04:09:42Z,3.14,139.00
2025-04-11T04:09:48Z,2.44,145.10
2025-04-11T04:09:55Z,2.54,128.90
2025-04-11T04:10:02Z,3.49,130.00
2025-04-11T04:10:08Z,2.64,129.30
2025-04-11T04:10:15Z,2.81,129.50
2025-04-11T04:10:22Z,3.97,130.00
2025-04-11T04:10:28Z,3.13,130.90
2025-04-11T04:10:35Z,2.56,131.00
2025-04-11T04:10:42Z,3.20,137.70
2025-04-11T04:10:48Z,2.05,129.40
2025-04-11T04:10:55Z,0.54,129.50
2025-04-11T04:11:02Z,0.53,129.70
2025-04-11T04:11:08Z,0.59,129.50
2025-04-11T04:11:15Z,0.46,129.50
2025-04-11T04:11:22Z,0.50,129.50
2025-04-11T04:11:28Z,0.59,129.50
2025-04-11T04:11:35Z,0.44,129.50
2025-04-11T04:11:42Z,0.52,129.50
2025-04-11T04:11:48Z,0.58,129.50
2025-04-11T04:11:55Z,0.34,129.50
2025-04-11T04:12:02Z,0.73,129.50
2025-04-11T04:12:08Z,0.61,129.50
2025-04-11T04:12:15Z,0.28,129.50
2025-04-11T04:12:22Z,0.63,128.00
