Timestamp,CPU%,Memory_MB
2025-04-10T23:10:29Z,0.32,20.74
2025-04-10T23:10:35Z,0.00,20.72
2025-04-10T23:10:42Z,0.02,20.72
2025-04-10T23:10:49Z,0.02,20.72
2025-04-10T23:10:56Z,0.00,20.72
2025-04-10T23:11:02Z,0.02,20.72
2025-04-10T23:11:09Z,0.33,21.36
2025-04-10T23:11:16Z,0.44,21.36
2025-04-10T23:11:22Z,0.30,21.11
2025-04-10T23:11:29Z,0.74,21.12
2025-04-10T23:11:36Z,0.51,21.14
2025-04-10T23:11:42Z,0.26,21.14
2025-04-10T23:11:49Z,0.22,21.39
2025-04-10T23:11:56Z,0.39,21.38
2025-04-10T23:12:02Z,0.41,20.88
2025-04-10T23:12:09Z,0.32,21.12
2025-04-10T23:12:16Z,0.33,21.37
2025-04-10T23:12:22Z,0.42,20.89
2025-04-10T23:12:29Z,0.36,21.13
2025-04-10T23:12:36Z,0.35,20.93
2025-04-10T23:12:42Z,0.40,21.15
2025-04-10T23:12:49Z,0.34,21.42
2025-04-10T23:12:56Z,0.42,20.91
2025-04-10T23:13:02Z,0.35,21.15
2025-04-10T23:13:09Z,0.50,21.16
2025-04-10T23:13:16Z,0.28,21.16
2025-04-10T23:13:22Z,0.37,21.40
2025-04-10T23:13:29Z,0.42,21.65
2025-04-10T23:13:36Z,0.37,21.42
2025-04-10T23:13:42Z,0.33,21.16
2025-04-10T23:13:49Z,0.48,21.42
2025-04-10T23:13:56Z,0.42,21.41
2025-04-10T23:14:02Z,0.34,20.93
2025-04-10T23:14:09Z,0.43,21.67
2025-04-10T23:14:16Z,0.45,20.94
2025-04-10T23:14:22Z,0.41,20.92
2025-04-10T23:14:29Z,0.48,21.23
2025-04-10T23:14:36Z,0.33,21.45
2025-04-10T23:14:42Z,0.35,20.92
2025-04-10T23:14:49Z,0.41,21.68
2025-04-10T23:14:56Z,0.22,21.44
2025-04-10T23:15:02Z,0.27,20.93
2025-04-10T23:15:09Z,0.44,21.19
2025-04-10T23:15:16Z,0.41,21.21
2025-04-10T23:15:22Z,0.38,20.93
2025-04-10T23:15:29Z,0.42,21.19
2025-04-10T23:15:36Z,0.10,21.18
2025-04-10T23:15:42Z,0.00,20.93
2025-04-10T23:15:49Z,0.07,21.18
2025-04-10T23:15:56Z,0.07,21.19
2025-04-10T23:16:02Z,0.00,20.93
2025-04-10T23:16:09Z,0.07,21.18
2025-04-10T23:16:16Z,0.05,20.93
2025-04-10T23:16:22Z,0.00,20.93
2025-04-10T23:16:29Z,0.00,20.93
2025-04-10T23:16:36Z,0.00,20.93
2025-04-10T23:16:42Z,0.00,20.93
2025-04-10T23:16:49Z,0.00,21.18
2025-04-10T23:16:56Z,0.00,20.94
2025-04-10T23:17:02Z,0.00,20.93
