Timestamp,CPU%,Memory_MB
2025-04-10T22:19:33Z,0.36,20.30
2025-04-10T22:19:40Z,0.00,20.07
2025-04-10T22:19:47Z,0.02,20.32
2025-04-10T22:19:53Z,0.04,20.08
2025-04-10T22:20:00Z,0.00,20.07
2025-04-10T22:20:07Z,0.01,20.08
2025-04-10T22:20:13Z,0.00,20.07
2025-04-10T22:20:20Z,0.12,20.17
2025-04-10T22:20:27Z,0.11,20.18
2025-04-10T22:20:33Z,0.11,20.68
2025-04-10T22:20:40Z,0.00,20.17
2025-04-10T22:20:47Z,0.13,20.43
2025-04-10T22:20:53Z,0.22,20.43
2025-04-10T22:21:00Z,0.02,20.17
2025-04-10T22:21:07Z,0.06,20.43
2025-04-10T22:21:14Z,0.09,20.18
2025-04-10T22:21:20Z,0.06,20.43
2025-04-10T22:21:27Z,0.09,20.43
2025-04-10T22:21:34Z,0.08,20.43
2025-04-10T22:21:40Z,0.02,20.17
2025-04-10T22:21:47Z,0.17,20.68
2025-04-10T22:21:54Z,0.15,20.18
2025-04-10T22:22:00Z,0.00,20.17
2025-04-10T22:22:07Z,0.07,20.45
2025-04-10T22:22:14Z,0.08,20.21
2025-04-10T22:22:20Z,0.10,20.21
2025-04-10T22:22:27Z,0.08,20.46
2025-04-10T22:22:34Z,0.17,20.46
2025-04-10T22:22:40Z,0.00,20.21
2025-04-10T22:22:47Z,0.26,20.71
2025-04-10T22:22:54Z,0.27,20.46
2025-04-10T22:23:00Z,0.00,20.21
2025-04-10T22:23:07Z,0.14,20.46
2025-04-10T22:23:14Z,0.08,20.46
2025-04-10T22:23:20Z,0.11,20.21
2025-04-10T22:23:27Z,0.16,20.46
2025-04-10T22:23:34Z,0.10,20.71
2025-04-10T22:23:40Z,0.00,20.21
2025-04-10T22:23:47Z,0.00,20.21
2025-04-10T22:23:54Z,0.19,20.46
2025-04-10T22:24:00Z,0.00,20.21
2025-04-10T22:24:07Z,0.00,20.21
2025-04-10T22:24:14Z,0.08,20.46
2025-04-10T22:24:20Z,0.21,20.47
2025-04-10T22:24:27Z,0.19,20.23
2025-04-10T22:24:34Z,0.07,20.21
2025-04-10T22:24:40Z,0.00,20.21
2025-04-10T22:24:47Z,0.00,20.21
2025-04-10T22:24:54Z,0.07,20.21
2025-04-10T22:25:00Z,0.00,20.21
2025-04-10T22:25:07Z,0.00,20.21
2025-04-10T22:25:14Z,0.00,20.21
2025-04-10T22:25:20Z,0.02,20.21
2025-04-10T22:25:27Z,0.00,20.21
2025-04-10T22:25:34Z,0.00,20.21
2025-04-10T22:25:40Z,0.04,20.21
2025-04-10T22:25:47Z,0.00,20.21
2025-04-10T22:25:54Z,0.00,20.21
2025-04-10T22:26:00Z,0.03,20.21
2025-04-10T22:26:07Z,0.00,20.21
