Timestamp,CPU%,Memory_MB
2025-04-10T23:00:18Z,0.32,20.68
2025-04-10T23:00:24Z,0.00,20.68
2025-04-10T23:00:31Z,0.02,20.68
2025-04-10T23:00:38Z,0.05,20.68
2025-04-10T23:00:44Z,0.00,20.68
2025-04-10T23:00:51Z,0.00,20.68
2025-04-10T23:00:57Z,0.00,20.68
2025-04-10T23:01:04Z,0.14,21.05
2025-04-10T23:01:11Z,0.20,20.80
2025-04-10T23:01:17Z,0.19,21.04
2025-04-10T23:01:24Z,0.19,21.30
2025-04-10T23:01:31Z,0.19,21.05
2025-04-10T23:01:37Z,0.25,21.05
2025-04-10T23:01:44Z,0.41,20.81
2025-04-10T23:01:51Z,0.23,21.05
2025-04-10T23:01:57Z,0.12,20.83
2025-04-10T23:02:04Z,0.33,21.07
2025-04-10T23:02:11Z,0.25,20.82
2025-04-10T23:02:17Z,0.12,21.06
2025-04-10T23:02:24Z,0.31,20.82
2025-04-10T23:02:31Z,0.24,21.07
2025-04-10T23:02:37Z,0.14,20.84
2025-04-10T23:02:44Z,0.25,21.09
2025-04-10T23:02:51Z,0.09,20.84
2025-04-10T23:02:57Z,0.24,21.09
2025-04-10T23:03:04Z,0.13,20.83
2025-04-10T23:03:11Z,0.14,21.33
2025-04-10T23:03:17Z,0.24,21.60
2025-04-10T23:03:24Z,0.06,20.84
2025-04-10T23:03:31Z,0.20,21.08
2025-04-10T23:03:37Z,0.25,21.08
2025-04-10T23:03:44Z,0.13,21.33
2025-04-10T23:03:51Z,0.29,21.10
2025-04-10T23:03:57Z,0.12,21.35
2025-04-10T23:04:04Z,0.25,21.09
2025-04-10T23:04:11Z,0.33,21.35
2025-04-10T23:04:17Z,0.18,21.10
2025-04-10T23:04:24Z,0.29,21.11
2025-04-10T23:04:31Z,0.29,21.11
2025-04-10T23:04:37Z,0.27,21.39
2025-04-10T23:04:44Z,0.24,20.86
2025-04-10T23:04:51Z,0.25,20.86
2025-04-10T23:04:57Z,0.20,20.86
2025-04-10T23:05:04Z,0.18,21.11
2025-04-10T23:05:11Z,0.20,21.09
2025-04-10T23:05:17Z,0.23,21.36
2025-04-10T23:05:24Z,0.00,20.85
2025-04-10T23:05:31Z,0.00,20.84
2025-04-10T23:05:37Z,0.08,20.85
2025-04-10T23:05:44Z,0.00,20.85
2025-04-10T23:05:51Z,0.00,20.86
2025-04-10T23:05:57Z,0.02,20.84
2025-04-10T23:06:04Z,0.00,20.84
2025-04-10T23:06:11Z,0.00,20.84
2025-04-10T23:06:17Z,0.02,20.84
2025-04-10T23:06:24Z,0.00,20.84
2025-04-10T23:06:31Z,0.00,20.84
2025-04-10T23:06:37Z,0.02,20.84
2025-04-10T23:06:44Z,0.00,20.84
2025-04-10T23:06:51Z,0.00,20.86
