Timestamp,CPU%,Memory_MB
2025-04-10T22:09:22Z,0.40,19.80
2025-04-10T22:09:29Z,0.08,19.55
2025-04-10T22:09:35Z,0.15,19.60
2025-04-10T22:09:42Z,0.33,19.60
2025-04-10T22:09:49Z,0.63,20.18
2025-04-10T22:09:55Z,0.21,19.91
2025-04-10T22:10:02Z,0.12,19.65
2025-04-10T22:10:09Z,0.11,19.66
2025-04-10T22:10:15Z,0.08,19.65
2025-04-10T22:10:22Z,0.16,20.45
2025-04-10T22:10:29Z,0.14,20.21
2025-04-10T22:10:35Z,0.09,20.46
2025-04-10T22:10:42Z,0.25,20.46
2025-04-10T22:10:49Z,0.60,20.24
2025-04-10T22:10:55Z,0.19,20.46
2025-04-10T22:11:02Z,0.09,20.46
2025-04-10T22:11:09Z,0.10,20.46
2025-04-10T22:11:15Z,0.08,20.45
2025-04-10T22:11:22Z,0.25,20.21
2025-04-10T22:11:29Z,0.06,20.21
2025-04-10T22:11:35Z,0.00,20.20
2025-04-10T22:11:42Z,0.09,20.20
2025-04-10T22:11:49Z,0.60,20.68
2025-04-10T22:11:55Z,0.00,20.45
2025-04-10T22:12:02Z,0.00,20.20
2025-04-10T22:12:09Z,0.12,20.45
2025-04-10T22:12:15Z,0.00,20.20
2025-04-10T22:12:22Z,0.00,20.21
2025-04-10T22:12:29Z,0.06,20.21
2025-04-10T22:12:35Z,0.00,20.45
2025-04-10T22:12:42Z,0.04,20.20
2025-04-10T22:12:49Z,0.54,20.39
2025-04-10T22:12:55Z,0.00,20.21
2025-04-10T22:13:02Z,0.00,20.20
2025-04-10T22:13:09Z,0.07,20.45
2025-04-10T22:13:15Z,0.01,20.45
2025-04-10T22:13:22Z,0.00,20.20
2025-04-10T22:13:29Z,0.06,20.46
2025-04-10T22:13:35Z,0.07,20.21
2025-04-10T22:13:42Z,0.10,20.20
2025-04-10T22:13:49Z,0.58,20.63
2025-04-10T22:13:55Z,0.17,20.21
2025-04-10T22:14:02Z,0.00,20.20
2025-04-10T22:14:09Z,0.05,20.21
2025-04-10T22:14:15Z,0.08,20.21
2025-04-10T22:14:22Z,0.07,20.34
2025-04-10T22:14:29Z,0.07,20.34
2025-04-10T22:14:35Z,0.06,20.34
2025-04-10T22:14:42Z,0.00,20.33
2025-04-10T22:14:49Z,0.37,20.37
2025-04-10T22:14:55Z,0.00,20.33
2025-04-10T22:15:02Z,0.00,20.33
2025-04-10T22:15:09Z,0.00,20.33
2025-04-10T22:15:15Z,0.00,20.33
2025-04-10T22:15:22Z,0.00,20.33
2025-04-10T22:15:29Z,0.00,20.33
2025-04-10T22:15:35Z,0.00,20.33
2025-04-10T22:15:42Z,0.00,20.33
2025-04-10T22:15:49Z,0.38,20.39
2025-04-10T22:15:55Z,0.00,20.33
