Timestamp,CPU%,Memory_MB
2025-04-11T02:03:35Z,1.14,77.56
2025-04-11T02:03:42Z,0.94,77.26
2025-04-11T02:03:48Z,1.29,77.16
2025-04-11T02:03:55Z,0.19,77.14
2025-04-11T02:04:02Z,0.03,76.90
2025-04-11T02:04:08Z,1.24,76.91
2025-04-11T02:04:15Z,0.19,77.11
2025-04-11T02:04:22Z,0.36,77.93
2025-04-11T02:04:28Z,1.50,77.65
2025-04-11T02:04:35Z,0.44,77.88
2025-04-11T02:04:42Z,0.42,77.63
2025-04-11T02:04:48Z,1.31,77.58
2025-04-11T02:04:55Z,0.34,77.89
2025-04-11T02:05:02Z,0.27,77.45
2025-04-11T02:05:08Z,1.74,77.81
2025-04-11T02:05:15Z,0.38,78.07
2025-04-11T02:05:22Z,0.20,77.46
2025-04-11T02:05:28Z,1.56,77.67
2025-04-11T02:05:35Z,0.19,77.70
2025-04-11T02:05:42Z,0.27,77.88
2025-04-11T02:05:48Z,1.56,77.80
2025-04-11T02:05:55Z,0.13,77.75
2025-04-11T02:06:02Z,0.57,77.82
2025-04-11T02:06:08Z,1.31,78.32
2025-04-11T02:06:15Z,0.20,77.67
2025-04-11T02:06:22Z,0.43,77.91
2025-04-11T02:06:28Z,0.67,77.95
2025-04-11T02:06:35Z,0.29,77.74
2025-04-11T02:06:42Z,0.33,77.60
2025-04-11T02:06:48Z,1.26,77.77
2025-04-11T02:06:55Z,0.33,77.75
2025-04-11T02:07:02Z,0.38,77.82
2025-04-11T02:07:08Z,1.11,78.02
2025-04-11T02:07:15Z,0.41,78.14
2025-04-11T02:07:22Z,0.39,77.90
2025-04-11T02:07:28Z,1.46,77.78
2025-04-11T02:07:35Z,0.35,77.76
2025-04-11T02:07:42Z,0.59,77.91
2025-04-11T02:07:48Z,1.04,78.19
2025-04-11T02:07:55Z,0.37,77.78
2025-04-11T02:08:02Z,0.38,77.94
2025-04-11T02:08:08Z,1.49,77.55
2025-04-11T02:08:15Z,0.35,77.82
2025-04-11T02:08:22Z,0.44,77.69
2025-04-11T02:08:28Z,1.07,77.78
2025-04-11T02:08:35Z,0.31,77.68
2025-04-11T02:08:42Z,0.06,77.51
2025-04-11T02:08:48Z,1.14,77.51
2025-04-11T02:08:55Z,0.00,77.80
2025-04-11T02:09:02Z,0.09,77.51
2025-04-11T02:09:08Z,1.43,77.73
2025-04-11T02:09:15Z,0.00,77.73
2025-04-11T02:09:22Z,0.03,77.51
2025-04-11T02:09:28Z,1.23,77.90
2025-04-11T02:09:35Z,0.00,77.73
2025-04-11T02:09:42Z,0.02,77.51
2025-04-11T02:09:48Z,1.10,77.54
2025-04-11T02:09:55Z,0.00,77.59
2025-04-11T02:10:02Z,0.02,77.52
2025-04-11T02:10:08Z,1.35,77.75
