Timestamp,CPU%,Memory_MB
2025-04-11T01:33:02Z,0.53,76.79
2025-04-11T01:33:09Z,0.00,76.79
2025-04-11T01:33:16Z,0.01,76.79
2025-04-11T01:33:22Z,0.00,76.80
2025-04-11T01:33:29Z,0.00,76.78
2025-04-11T01:33:36Z,0.01,76.79
2025-04-11T01:33:42Z,0.03,77.33
2025-04-11T01:33:49Z,0.27,77.33
2025-04-11T01:33:56Z,0.01,77.33
2025-04-11T01:34:02Z,0.25,77.59
2025-04-11T01:34:09Z,0.16,77.50
2025-04-11T01:34:16Z,0.00,77.32
2025-04-11T01:34:22Z,0.29,77.73
2025-04-11T01:34:29Z,0.03,77.49
2025-04-11T01:34:36Z,0.20,77.57
2025-04-11T01:34:42Z,0.33,77.47
2025-04-11T01:34:49Z,0.18,77.56
2025-04-11T01:34:56Z,0.17,77.32
2025-04-11T01:35:02Z,0.02,77.51
2025-04-11T01:35:09Z,0.27,77.49
2025-04-11T01:35:16Z,0.00,77.33
2025-04-11T01:35:23Z,0.22,77.54
2025-04-11T01:35:29Z,0.03,77.32
2025-04-11T01:35:36Z,0.20,77.49
2025-04-11T01:35:43Z,0.18,77.69
2025-04-11T01:35:49Z,0.04,77.33
2025-04-11T01:35:56Z,0.13,77.58
2025-04-11T01:36:03Z,0.23,77.45
2025-04-11T01:36:09Z,0.16,77.75
2025-04-11T01:36:16Z,0.21,77.33
2025-04-11T01:36:23Z,0.00,77.33
2025-04-11T01:36:29Z,0.22,77.50
2025-04-11T01:36:36Z,0.00,77.34
2025-04-11T01:36:43Z,0.30,77.35
2025-04-11T01:36:49Z,0.04,77.34
2025-04-11T01:36:56Z,0.27,77.50
2025-04-11T01:37:03Z,0.24,77.37
2025-04-11T01:37:09Z,0.03,77.34
2025-04-11T01:37:16Z,0.08,77.76
2025-04-11T01:37:23Z,0.10,77.34
2025-04-11T01:37:29Z,0.47,77.75
2025-04-11T01:37:36Z,0.12,77.35
2025-04-11T01:37:43Z,0.10,77.35
2025-04-11T01:37:49Z,0.22,77.51
2025-04-11T01:37:56Z,0.00,77.34
2025-04-11T01:38:03Z,0.33,77.80
2025-04-11T01:38:09Z,0.04,77.35
2025-04-11T01:38:16Z,0.00,77.35
2025-04-11T01:38:23Z,0.00,77.64
2025-04-11T01:38:29Z,0.00,77.34
2025-04-11T01:38:36Z,0.00,77.34
2025-04-11T01:38:43Z,0.01,77.35
2025-04-11T01:38:49Z,0.01,77.34
2025-04-11T01:38:56Z,0.00,77.35
2025-04-11T01:39:03Z,0.00,77.45
2025-04-11T01:39:09Z,0.02,77.34
2025-04-11T01:39:16Z,0.00,77.35
2025-04-11T01:39:23Z,0.00,77.61
2025-04-11T01:39:29Z,0.02,77.34
2025-04-11T01:39:36Z,0.00,77.34
