Timestamp,CPU%,Memory_MB
2025-04-11T00:42:08Z,0.85,190.20
2025-04-11T00:42:14Z,0.03,190.20
2025-04-11T00:42:21Z,0.13,190.50
2025-04-11T00:42:27Z,0.15,190.20
2025-04-11T00:42:34Z,0.04,190.20
2025-04-11T00:42:41Z,0.12,190.20
2025-04-11T00:42:47Z,0.76,190.20
2025-04-11T00:42:54Z,0.64,190.30
2025-04-11T00:43:01Z,0.59,190.50
2025-04-11T00:43:07Z,1.10,190.80
2025-04-11T00:43:14Z,0.78,190.50
2025-04-11T00:43:21Z,0.89,190.80
2025-04-11T00:43:27Z,0.77,190.30
2025-04-11T00:43:34Z,0.69,190.80
2025-04-11T00:43:41Z,0.87,190.50
2025-04-11T00:43:47Z,1.20,191.90
2025-04-11T00:43:54Z,1.03,192.70
2025-04-11T00:44:01Z,0.86,192.80
2025-04-11T00:44:07Z,1.42,192.50
2025-04-11T00:44:14Z,0.80,192.50
2025-04-11T00:44:21Z,0.79,193.10
2025-04-11T00:44:27Z,1.88,192.60
2025-04-11T00:44:34Z,0.58,192.80
2025-04-11T00:44:41Z,1.18,192.60
2025-04-11T00:44:47Z,1.63,192.80
2025-04-11T00:44:54Z,0.69,192.80
2025-04-11T00:45:01Z,0.74,192.60
2025-04-11T00:45:07Z,1.32,192.60
2025-04-11T00:45:14Z,0.44,192.50
2025-04-11T00:45:21Z,0.68,192.80
2025-04-11T00:45:27Z,6.12,194.50
2025-04-11T00:45:34Z,0.63,193.90
2025-04-11T00:45:41Z,1.00,193.60
2025-04-11T00:45:47Z,1.33,194.10
2025-04-11T00:45:54Z,0.85,193.70
2025-04-11T00:46:01Z,0.50,193.90
2025-04-11T00:46:07Z,1.80,193.70
2025-04-11T00:46:14Z,0.71,193.70
2025-04-11T00:46:21Z,0.98,193.70
2025-04-11T00:46:27Z,1.38,193.90
2025-04-11T00:46:34Z,0.78,193.70
2025-04-11T00:46:41Z,0.89,193.70
2025-04-11T00:46:47Z,1.35,193.70
2025-04-11T00:46:54Z,0.62,193.70
2025-04-11T00:47:01Z,1.20,193.70
2025-04-11T00:47:07Z,6.77,194.70
2025-04-11T00:47:14Z,0.08,193.50
2025-04-11T00:47:21Z,0.11,193.40
2025-04-11T00:47:27Z,0.82,193.40
2025-04-11T00:47:34Z,0.09,193.40
2025-04-11T00:47:41Z,0.12,193.70
2025-04-11T00:47:47Z,0.84,193.70
2025-04-11T00:47:54Z,0.09,193.40
2025-04-11T00:48:01Z,0.13,193.40
2025-04-11T00:48:07Z,0.83,193.40
2025-04-11T00:48:14Z,0.08,193.40
2025-04-11T00:48:21Z,0.14,193.40
2025-04-11T00:48:27Z,0.81,193.40
2025-04-11T00:48:34Z,0.09,193.40
2025-04-11T00:48:41Z,0.11,193.40
